text_id,filename,mean_icd,min_icd,max_icd,min_inter,max_inter,mean_inter,silhouette,davies_bouldin,sdbw,cvnn,uniqueness_ratio,total_clusters,cluster_distribution,human,bot
newlstm_by_20k,part_662.txt,12.24372788880616,3.810651033781709,21.072231297645136,5.126923774464177,10.26935618149598,7.696545029639709,0.056165904,2.7330135885234093,0.3438672911803663,0.7407286182030147,0.0748145353954482,7,"[115.0, 97.0, 116.0, 89.0, 112.0, 84.0, 267.0]",0,1
newlstm_by_20k,part_663.txt,12.322799885124365,3.6946596405055048,21.7962121933069,5.378953920469668,10.137345550412954,7.31085154972104,0.053740367,2.8302941039136407,0.3719320678814974,0.7450188358829577,0.0757366771159874,6,"[142.0, 198.0, 122.0, 138.0, 124.0, 141.0]",0,1
newlstm_by_20k,part_664.txt,12.484238730686108,3.470081364927053,23.41358935207306,5.0901527102214335,8.750643885573915,6.942751283535692,0.050023966,2.8826834250115154,0.4186677359230302,0.7497012063333703,0.0700992555831265,5,"[95.0, 190.0, 140.0, 266.0, 157.0]",0,1
newlstm_by_20k,part_665.txt,12.469401429372663,3.759777124225424,21.58988517938024,5.055248752230191,9.15038221183218,7.381756687661659,0.052253816,2.728984781004532,0.3790791174585445,0.7422908573980483,0.0732136129599397,6,"[162.0, 146.0, 76.0, 141.0, 198.0, 126.0]",0,1
newlstm_by_20k,part_666.txt,12.382134629231407,3.963206953683116,22.35887474232061,4.891189582509174,10.08503992632416,7.6811673358169665,0.06429901,2.763034484794253,0.3750421007849626,0.7393505588589225,0.0719406363979373,6,"[126.0, 112.0, 211.0, 191.0, 84.0, 123.0]",0,1
newlstm_by_20k,part_667.txt,12.749648253448882,3.832703057468109,21.69711647559824,5.417734386328038,9.976647060887744,7.949451611761328,0.07049554,2.668701539789999,0.3812110223408462,0.7385678411098119,0.0738971974362196,6,"[118.0, 267.0, 253.0, 71.0, 72.0, 82.0]",0,1
newlstm_by_20k,part_668.txt,12.559943853997227,3.678283544260828,22.200781049375085,5.350646477920034,9.10840432817427,6.885779837160189,0.057721674,2.930361798563812,0.4158262588755945,0.7489068011512292,0.0732100756917731,5,"[124.0, 284.0, 136.0, 156.0, 150.0]",0,1
newlstm_by_20k,part_669.txt,12.487603757527443,3.2343488985470943,22.61481150410557,5.137748929178423,8.5103247564004,6.870015759792452,0.045944665,2.950741724924821,0.4138168555021619,0.7503343927811477,0.0751372940589116,5,"[157.0, 204.0, 191.0, 189.0, 137.0]",0,1
newlstm_by_20k,part_670.txt,12.95116367438849,2.891075258464725,25.13021305830856,5.073141712847043,6.903927535585259,6.083435511404447,0.06650567,3.273357356875524,0.5562566677859837,0.7547827676792064,0.074433249370277,3,"[403.0, 211.0, 246.0]",0,1
newlstm_by_20k,part_671.txt,12.468151608151215,3.7238882551506456,22.223084942000973,5.029572871068526,9.52509526871694,7.5998604838771,0.06141012,2.802413576653021,0.376299917823978,0.7370276634666005,0.0699577951144647,6,"[224.0, 109.0, 126.0, 84.0, 167.0, 102.0]",0,1
newlstm_by_20k,part_672.txt,12.4663257495821,3.82600492686585,22.41002184264292,4.928167765818503,9.69581417376732,7.236623861440597,0.050446846,2.8901168835043496,0.3771007194902617,0.7488060602794625,0.0707375298404322,6,"[131.0, 229.0, 115.0, 164.0, 124.0, 86.0]",0,1
